1, 6
2, 8
3, 5
4, 7
5, 9
6, 4
7, 7
8, 6
9, 8
10, 3
11, 7
12, 6
13, 9
14, 8
15, 5
16, 7
17, 2
18, 7
19, 6
20, 5
21, 8
22, 7
23, 4
24, 7
25, 6
26, 8
27, 10
28, 1
29, 7
30, 9
31, 6
32, 8
33, 5
34, 7
35, 9
36, 4
37, 8
38, 7
39, 9
40, 6
41, 8
42, 3
43, 7
44, 9
45, 6
46, 10
47, 9
48, 8
49, 11
50, 10
51, 12
52, 5
53, 9
54, 11
55, 8
56, 10
57, 7
58, 11
59, 10
60, 9
61, 12
62, 11
63, 0
64, 6
65, 5
66, 7
67, 4
68, 7
69, 6
70, 9
71, 8
72, 3
73, 7
74, 6
75, 8
76, 5
77, 7
78, 2
79, 7
80, 6
81, 8
82, 5
83, 8
84, 7
85, 9
86, 11
87, 4
88, 8
89, 10
90, 7
91, 9
92, 6
93, 10
94, 12
95, 9
96, 11
97, 8
98, 11
99, 10
100, 12
